personA	personB	weight	release
399	85	24	2.3
399	376	2	2.3
457	102	4	2.3
39	39	1	2.3
139	304	9	2.3
143	253	3	2.3
237	399	5	2.3
237	39	1	2.3
310	335	6	2.3
304	39	1	2.3
374	304	14	2.3
399	115	6	2.3
399	402	1	2.3
457	139	49	2.3
58	58	12	2.3
143	377	3	2.3
147	75	1	2.3
248	373	15	2.3
237	143	7	2.3
253	410	1	2.3
310	391	15	2.3
304	79	5	2.3
304	118	509	2.3
374	374	15	2.3
399	126	18	2.3
402	304	1	2.3
457	279	4	2.3
79	79	2	2.3
139	457	14	2.3
143	420	3	2.3
149	233	8	2.3
258	315	2	2.3
237	149	2	2.3
320	304	12	2.3
304	139	22	2.3
374	399	20	2.3
399	131	39	2.3
